amount,hour_of_day,sender_txn_count,receiver_txn_count,is_fraud
2389.14901500000,10,82,19,0
3679.889733000000,10,150,12,0
24788.946648000001,16,63,58,0
1526.3841900000000,18,88,42,0
7290.966520000000,7,120,123,0
1329.7330560000000,16,119,13,0
14466.687634000000,12,4,0,1
37912.24128600000,4,1,4,1
2832.0806160000002,8,13,139,0
2493.731218000000,17,195,99,0
7901.863043000000,19,160,73,0
12802.714988000000,12,20,45,0
8633.249613000000,5,137,14,0
1921.0049400000000,9,35,143,0
1172.5967559999999,9,135,115,0
13265.756581000000,12,185,46,0
15864.003755000000,18,98,107,0
10771.630294000001,12,158,90,0
425.35383999999999,19,41,40,0
409.80102900000003,10,14,82,0
9819.102269999999,11,127,111,0
34497.20877900000,12,34,123,0
1113.3046509999999,7,145,138,0
4563.607578000000,20,184,94,0
4991.943514000000,9,9,95,0
4089.129278000000,12,14,138,0
5757.816259000000,22,131,22,0
5043.712916000000,12,16,91,0
958.3366360000000,9,152,106,0
3181.6755929999999,12,27,96,0
3039.552223000000,16,82,13,0
2021.1629080000000,13,8,93,0
2370.919788000000,12,184,31,0
1068.2619920000000,7,95,55,0
52901.40737000000,9,118,55,0
13130.138982000000,19,88,81,0
4386.448556000000,12,133,96,0
15520.656588000000,7,19,42,0
2361.4030950000001,10,35,85,0
3752.4953829999999,16,72,108,0
1808.6441070000001,19,187,33,0
7066.796598000000,15,54,76,0
6869.982272000000,11,7,38,0
4937.076473000000,20,99,122,0
35760.39311500000,2,7,1,1
567.8171260000000,9,31,89,0
3759.3402540000002,14,71,85,0
6091.354004000000,9,151,16,0
7009.446836000000,16,199,18,0
3447.8919970000002,15,99,47,0
20811.76537900000,11,7,104,0
7487.3557840000003,10,191,83,0
12634.80641800000,10,67,31,0
34022.38037900000,20,177,73,0
28023.446534999999,6,0,3,1
1578.7776650000001,20,70,106,0
100424.96537599999,12,179,36,0
221574.63227300000,1,5,3,1
5792.622293000000,20,71,103,0
2245.197249000000,12,87,100,0
6096.967084000000,20,13,62,0
653.9006630000000,18,138,63,0
1206.3832150000001,15,85,130,0
152354.71077199999,6,0,1,1
21570.79670400000,12,37,32,0
28299.03440300000,13,44,33,0
23998.132367999999,9,43,99,0
23326.10915000000,8,59,125,0
7242.307338000000,16,191,51,0
40774.408267999999,14,145,21,0
84085.3266370000,2,3,4,1
7958.132606000000,13,45,43,0
5887.397913000000,8,123,65,0
78686.08573900000,1,1,3,1
35538.29089800000,11,83,21,0
13800.569766000001,9,167,73,0
5395.786315000000,6,152,112,0
8462.916998999999,8,115,109,0
2346.5807359999999,15,151,71,0
3788.9702600000001,22,99,100,0
1045.62054700000,19,156,102,0
11837.059486000000,16,43,122,0
2112.331348000000,10,118,43,0
42902.66907700000,17,32,102,0
14723.724184000001,16,72,106,0
21167.116537000002,15,48,88,0
12607.61691700000,15,87,139,0
3556.7249130000000,9,162,9,0
1266.3788320000001,14,157,21,0
33469.600860999999,10,5,3,1
12284.684164000000,16,26,8,0
53719.78958700000,8,2,0,1
3269.765001000000,9,101,35,0
20890.137393000001,8,161,80,0
24718.323670999998,18,132,114,0
12388.212519000001,10,112,36,0
13357.876974000001,10,187,38,0
13125.517851000001,12,25,53,0
10668.689377999999,12,152,61,0
5800.950530000000,20,126,137,0
15900.511133000000,11,100,71,0
28728.324858000000,9,145,14,0
2508.8411010000000,15,193,116,0
2611.952629000000,17,41,76,0
9442.0623710000,7,32,62,0
10004.551880000001,13,18,138,0
1247.025212000000,10,20,16,0
7363.450478000000,8,127,17,0
590.0252260000000,7,104,42,0
6735.64709900000,10,119,142,0
7481.680102000000,14,187,6,0
15413.110977000000,12,140,56,0
17654.36448900000,10,140,53,0
6469.8861969999998,14,192,88,0
3161.216990000000,9,124,20,0
88186.40188500000,6,0,1,1
160051.80624000001,1,6,0,1
209472.91194100000,5,5,3,1
17132.028554000000,11,176,49,0
1098.5710640000000,7,67,121,0
7965.45545600000,20,169,59,0
1483.0805319999999,19,16,28,0
8070.368887000000,18,139,5,0
2140.058399000000,13,47,5,0
4849.784720000000,18,68,85,0
4376.0453770000004,14,170,136,0
3811.2301419999999,14,104,11,0
7476.807008000000,23,141,130,0
2554.4873200000002,9,33,125,0
22982.442010999999,4,0,3,1
5911.260593000000,9,108,21,0
4668.587967000000,8,63,71,0
7510.614435000000,21,9,37,0
206266.91248500001,22,0,3,1
8311.925534000000,20,14,131,0
162735.18032499999,21,5,0,1
149873.33446400001,1,3,0,1
23814.68464800000,21,149,147,0
6543.8123809999997,16,104,65,0
172350.2032330000,9,5,4,1
558.9733040000000,10,29,12,0
12857.379279999999,14,123,31,0
4407.932362000000,9,30,111,0
6299.71098400000,10,103,71,0
122461.80111200000,15,12,86,0
5253.306617000000,5,63,11,0
2062.792761000000,13,138,68,0
8312.835252000001,16,42,148,0
3821.6288370000002,8,172,111,0
12013.118372000001,17,76,112,0
4846.19554400000,14,84,81,0
10232.531784000001,13,115,57,0
833.5523480000001,13,9,89,0
1703.3607589999999,16,76,143,0
230262.7498780000,5,7,2,1
12013.02239600000,12,61,132,0
22149.877698000000,6,165,140,0
4316.64263600000,16,116,112,0
43514.17368000000,17,112,119,0
14071.785677000000,14,54,88,0
2430.1126020000002,11,92,146,0
11564.413716999999,18,187,27,0
7453.424668000000,11,33,142,0
2230.839626000000,9,133,147,0
500000.0,6,1,2,1
153842.7612780000,9,3,4,1
17879.20729200000,11,5,127,0
500000.0,2,2,0,1
122890.5152190000,19,0,1,1
19381.56680300000,16,75,147,0
1040.2907670000000,9,51,87,0
45274.664169000003,22,4,3,1
2829.2743409999998,9,101,28,0
10664.814683000001,9,105,81,0
36227.5748390000,12,107,135,0
6478.737476000000,14,178,72,0
6999.808237000000,12,77,43,0
7371.027440000000,11,109,3,0
7638.6640060000,12,90,126,0
11366.509826000000,16,48,125,0
564.1750910000000,10,47,131,0
11465.216003000000,14,69,88,0
20241.310909000000,13,74,9,0
47607.71794900000,6,3,3,1
788.8868570000000,22,163,5,0
4170.487399000000,16,32,127,0
7060.529136000000,10,30,103,0
9603.511482000000,5,172,97,0
3033.5586720000001,15,97,125,0
2171.297652000000,21,46,8,0
161.80894000000001,7,132,95,0
17266.40462200000,21,162,44,0
7303.701465000000,10,26,63,0
12614.208392000000,6,159,49,0
9711.268771999999,10,187,94,0
2141.972708000000,17,147,88,0
55385.07308600000,12,0,2,1
5026.883208000000,12,94,145,0
19288.532553000001,13,85,131,0
3887.215658000000,18,183,109,0
2737.900137000000,15,23,95,0
138963.159928000,14,5,2,1
104252.43097200000,11,5,2,1
9064.477456000001,13,25,104,0
16261.392918000000,5,5,1,1
3337.4898309999999,7,75,33,0
12138.08557100000,17,120,59,0
3070.536713000000,15,6,26,0
18457.580924000002,9,37,75,0
6506.960262000000,11,10,142,0
2519.516484000000,17,134,63,0
5009.946523000000,20,28,53,0
4568.433352000000,23,194,58,0
3765.15227200000,19,39,85,0
25166.193281000000,9,101,84,0
751.581186000000,16,113,126,0
8199.653269000000,14,132,96,0
2886.4794379999998,8,68,138,0
212093.19871600001,0,4,1,1
584.916932000000,17,182,124,0
2970.952625000000,20,45,37,0
6368.782829000000,12,127,52,0
1978.4352180000001,17,60,105,0
98690.44050800000,23,4,4,1
11160.105368000000,13,136,87,0
5119.951073000000,7,106,37,0
14609.435439000001,9,77,84,0
4118.105596000000,6,40,137,0
14186.569202999999,7,193,111,0
1263.9780840000001,9,64,70,0
528.9607680000000,7,93,52,0
260.02019600000000,10,105,145,0
1413.5766380000000,14,34,76,0
5473.53338800000,10,130,27,0
43759.49372400000,22,5,4,1
14137.466520000000,12,116,141,0
30634.982332000000,0,0,1,1
20182.41243600000,0,1,3,1
30402.862848000001,9,92,120,0
817.4889140000000,23,28,37,0
242749.47338700001,14,2,3,1
1333.672135000000,17,12,21,0
31212.4184180000,6,1,0,1
378934.8518020000,1,2,2,1
3561.4065750000000,6,179,86,0
466.9645410000000,20,187,121,0
2214.208176000000,21,104,112,0
3161.046960000000,12,119,43,0
1594.237919000000,10,157,91,0
1169.2066649999999,13,187,100,0
51143.14363100000,21,184,27,0
32481.572448999999,17,72,56,0
13275.425110000000,13,176,56,0
30957.433625999998,21,2,3,1
3098.391128000000,18,49,91,0
910.705585000000,11,69,100,0
14806.134891000000,2,2,4,1
15693.903344000000,11,162,116,0
2365.942694000000,13,38,148,0
130955.16810300000,0,7,4,1
1413.4669500000000,10,91,76,0
60669.21505300000,3,0,0,1
41628.62462400000,16,27,49,0
2063.5805280000000,15,69,36,0
4194.036573000000,8,197,98,0
11802.847691000001,7,149,20,0
2391.688619000000,13,27,54,0
2837.89703800000,16,82,57,0
7543.778399000000,9,65,49,0
3667.68687000000,12,10,145,0
105043.5141660000,3,5,1,1
3204.4424720000002,10,136,61,0
2801.1382779999999,18,37,130,0
142451.47411300000,15,2,0,1
1194.087684000000,8,53,35,0
86130.14082400000,12,4,4,1
302.0918870000000,8,184,30,0
15400.980630000000,23,193,20,0
57979.93479100000,14,109,103,0
3885.978220000000,16,192,144,0
36779.19134200000,9,155,74,0
32038.482993000001,15,112,57,0
15668.011283000000,15,12,94,0
524.8550920000000,10,143,139,0
1002.4140660000000,16,157,48,0
9068.190085000000,12,118,74,0
57020.64265200000,7,7,2,1
53182.26595700000,4,6,0,1
352.10065500000002,6,177,93,0
1701.3143030000001,18,191,46,0
13517.927180000001,14,11,50,0
2089.4717009999999,9,153,91,0
30313.226560999999,19,99,52,0
3758.5581729999999,11,61,48,0
11639.295738999999,9,38,39,0
15476.018470000001,14,80,97,0
5479.028689000000,15,151,100,0
42450.93250000000,6,83,19,0
1193.6332120000000,8,7,19,0
7672.886164000000,13,134,57,0
2918.9342720000000,14,62,24,0
4055.5461590000000,17,95,83,0
11092.408810000001,9,95,121,0
2749.5140110000002,18,59,108,0
14519.005165000000,9,42,112,0
1961.9593580000001,11,179,79,0
40402.95610100000,19,3,3,1
34558.48463400000,21,30,99,0
259.7147670000000,19,115,85,0
6593.745070000000,12,23,96,0
4539.496871000000,9,57,63,0
2629.9427249999999,10,72,120,0
4875.309169000000,5,29,126,0
5965.905941000000,7,175,119,0
4965.490172000000,1,82,138,0
2398.1949820000000,16,60,138,0
7667.000843000000,14,79,62,0
6596.167517000000,17,29,115,0
1768.0535050000001,5,174,35,0
10498.052680999999,11,161,70,0
2835.9503060000002,9,134,17,0
2380.153570000000,9,19,64,0
2417.2377560000000,15,158,112,0
7821.270997000000,13,94,35,0
19271.194357000000,14,50,127,0
9151.948097000000,13,68,120,0
24111.560916999999,8,28,60,0
8267.334167999999,18,27,84,0
9690.353696000000,13,33,119,0
5408.622015000000,7,176,39,0
11807.532498000000,8,168,77,0
1756.450883000000,11,140,90,0
9779.08196200000,15,116,98,0
5520.585701000000,10,12,72,0
9395.076749000000,10,29,17,0
1018.5536590000000,12,175,32,0
20367.43698800000,12,66,9,0
1865.2379900000001,13,166,88,0
36253.915953000003,10,196,138,0
1848.9438800000000,11,25,101,0
783.5562760000000,14,31,12,0
51598.963133999998,23,2,1,1
1087.7587430000001,21,126,47,0
7534.8735250000000,18,15,110,0
3809.749958000000,13,130,49,0
2491.4587769999998,17,124,127,0
7129.5170760000001,8,133,77,0
11982.171851999999,8,40,82,0
3282.3464410000001,11,108,115,0
14529.636591000000,5,89,139,0
4659.97915200000,6,59,36,0
6121.853897000000,12,89,16,0
3969.5838739999999,0,28,128,0
2176.677785000000,14,122,42,0
1940.1328360000000,12,64,144,0
3046.81516400000,9,97,84,0
16313.291687000001,8,121,86,0
3149.6851369999999,10,92,50,0
4451.443824000000,5,149,106,0
23716.408650000001,18,50,78,0
1398.590254000000,10,84,30,0
5466.474156000000,10,159,80,0
27468.66568800000,12,117,4,0
10788.22554600000,15,108,4,0
4394.404040000000,10,121,121,0
6650.818093000000,12,31,8,0
1917.5715290000001,0,105,86,0
17133.158036000001,9,74,97,0
2921.2699050000001,8,119,121,0
4727.2039230000000,13,188,126,0
3692.110192000000,11,59,25,0
4382.063557000000,11,178,35,0
500000.0,21,7,2,1
1290.9636829999999,18,66,23,0
16603.42638300000,6,2,2,1
524.3573590000000,13,170,123,0
404.3942760000000,21,170,21,0
10531.474554000000,11,96,55,0
6453.066684000000,16,34,136,0
1444.6014660000001,11,120,107,0
4632.78082200000,21,172,33,0
